source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,zone_id
articles.timesofindia.indiatimes.com,http://articles.timesofindia.indiatimes.com/2013-09-08/guwahati/41872983_1_flood-situation-arunachal-pradesh-landslides,5441,09-02-2013 00:00,,"Gosang Village Under Jengging Circle, Arunachal Pradesh","With improvement in the weather, the water level of major rivers in Eastern Arunachal showed a receding trend even as West and Upper Siang districts in the state remained cut off due to massive landslides triggered by torrential rain. Chief Minister Nabam Tuki on Saturday undertook an aerial survey of the affected areas accompanied by Chief Secretary Hari Krishna and Secretary, Disaster Management, Kapa Kholie, officials said on Sunday. Reports had poured in of the Noa Dihing River rising over danger level and inundating portions of Dumpani and four other villages under Diyun circle in Changlang district. At least 13,246 people of eleven villages have been affected by the current wave of flood. Landing at Diyun, Tuki took first hand report of the situation from local Legislator C C Singpho and officials of the district administration, sources said. The swollen river has triggered landslides in at least seven villages while about 85 hectares have been submerged in five villages, they sa","Gosang Village Under Jengging Circle, Arunachal Pradesh",5km,landslide,downpour,large,unknown,,,,,,glc,5441.0,India,IN,Arunāchal Pradesh,18425.0,Along,52.08889,04-01-2014 00:00,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,94.9829,28.611,west_siang_arunachal_pradesh
articles.timesofindia,http://articles.timesofindia.indiatimes.com/2012-07-07/guwahati/32577108_1_arunachal-district-landslides-arunachal-pradesh,4446,07-05-2012 00:00,,"Tuting, Upper Siang , Arunachal Pradesh",Tuting in Upper Siang district of Arunachal Pradesh is cut off from the rest of the country following massive landslides triggered by torrential rain over the past couple of days.,"Tuting, Upper Siang , Arunachal Pradesh",5km,landslide,downpour,large,unknown,,,,,,test,4446.0,India,IN,Arunachal Pradesh,0.0,Damnyain,52.64616,04-01-2014 00:00,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,94.8885,28.9986,west_siang_arunachal_pradesh
Arunachal Times,http://www.arunachaltimes.in/man-washed-away-by-mudslide/,9010,07/16/2016 12:00:00 AM,,"Hoj-Potin Highway, Arunachal Pradesh, India",In an unfortunate accident one Amit Lama was washed away by mudslide when he came out of his car to inspect the block point in the Hoj-Potin Highway. The district administration immediately pressed men and machines to recover the body. Till the filling of this report the body could not be recovered. However roads have opened for vehicle movement late in the evening.,"Hoj-Potin Highway, Arunachal Pradesh, India",5km,mudslide,downpour,medium,above_road,1.0,0.0,,,,glc,9010.0,India,IN,Arunachal Pradesh,26912.0,Naharlagun,24.51693,07/18/2016 04:08:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.804,27.3034,lower_subansiri_arunachal_pradesh
NELive,http://www.nelive.in/arunachal-pradesh/news/landslide-disrupts-road-communication-between-aalo-and-pangin,9087,07/19/2016 12:00:00 AM,,"5 km off Sangam point on Aalo- Pangin road, Arunachal Pradesh, India","(Location along road estimated. Landslide may have occured a couple days before June 19, 2016). Landslides triggered by torrential rains over the past few days blocked the road at 5 km off Sangam point on Aalo- Pangin road causing a total disruption in road communication.  According to official sources, men and machineries were pressed into service on Tuesday to clear the debris but without any progress as the landowners were obstructing the works demanding compensation.  Meanwhile, Siang Deputy Commissioner Rahul Singh along with ADC and EAC Pangin visited the landslide-hit area on Tuesday to assess the extent of damage.  He interacted with TK Engineering officials and asked them to put more men and machineries to carryout the restoration work.","5 km off Sangam point on Aalo- Pangin road, Arunachal Pradesh, India",50km,landslide,downpour,medium,above_road,0.0,0.0,,http://www.nelive.in/sites/default/files/07-09-15%20Meghalaya-%20Landslide%20hits%20NH-40%20%282%29.jpg,,glc,9087.0,India,IN,Arunachal Pradesh,18425.0,Along,17.3564,07/20/2016 07:36:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,94.9612,28.235,west_siang_arunachal_pradesh
Arunachal Times,http://www.arunachaltimes.in/arunachal-devastated-by-landslides-and-floods-minor-dead/,11167,07-09-2017 13:23,,Landslide on road near Durga Mandir,"Landslide on Nirjuli to Banderdewa road obstructs said road, after heavy rains","Naharlagun Sub-District, Papum Pare, Arunachal Pradesh",10km,landslide,continuous_rain,small,above_road,0.0,0.0,,,,,,,,,,,,07-10-2017 13:23,12/20/2017 03:55:00 PM,02/15/2018 03:51:00 PM,93.79559574,27.11610665,papum_pare_arunachal_pradesh
The Arunachal Times,http://www.arunachaltimes.in/man-buried-alive-in-landslide/,11176,06/20/2017 01:16:00 PM,,Fatal landslide in Gussar circle,Man buried by landslide in Gussar,"Gussar, Upper Subansiri, Arunachal Pradesh",5km,landslide,rain,medium,unknown,1.0,0.0,,,,,,,,,,,,07-07-2017 13:16,12/20/2017 04:12:00 PM,02/15/2018 03:51:00 PM,94.18315697,28.10756941,west_siang_arunachal_pradesh
Echo of Arunachal,http://echoofarunachal.in/newecho/2017/05/16/one-dies-in-landslide/,11175,05-03-2017 14:05,,Fatal landslide in Yangte,"Landslide kills one in Yangte village. Article very sparse on information, presumably rainfall triggered due to the contemporaneous flooding in Arunachal.","Yangte, Kra Daadi District, Arunachal Pradesh, India",1km,landslide,rain,medium,unknown,1.0,0.0,,,,,,,,,,,,07-12-2017 14:05,12/20/2017 03:56:00 PM,02/15/2018 03:51:00 PM,93.62407259,27.82743132,lower_subansiri_arunachal_pradesh
Arunachal Times,http://www.arunachaltimes.in/arunachal-devastated-by-landslides-and-floods-minor-dead/,11164,07-09-2017 13:23,,Landslides on Itanagar-Naharlagun road,Landslides obstruct Itanagar-Naharlagun road after heavy rains in Arunachal Pradesh,"NH-52A, Naharlagun Sub-District, Papum Pare, Arunachal Pradesh, 791111",5km,landslide,continuous_rain,small,above_road,0.0,0.0,,,Confidence radius should be 3km,,,,,,,,,07-10-2017 13:23,12/20/2017 03:55:00 PM,02/15/2018 03:51:00 PM,93.65156438,27.1071241,papum_pare_arunachal_pradesh
Hindustan Times,http://www.hindustantimes.com/india-news/14-people-feared-dead-in-massive-landslide-in-arunachal-pradesh/story-I1ogsSk2zfyvXm2wGlmjWP.html,11168,07-11-2017 14:21,,Large landslide at Laptap village,"Landslide after incessant rains buries 3 dwellings, kills 14","Laptap, Papum Pare, Arunachal Pradesh, India",1km,landslide,continuous_rain,large,natural_slope,14.0,0.0,,http://www.hindustantimes.com/rf/image_size_960x540/HT/p2/2017/07/11/Pictures/_cb57521a-663f-11e7-99b4-5703255acffe.jpg,,,,,,,,,,07-11-2017 14:21,12/20/2017 03:55:00 PM,02/15/2018 03:51:00 PM,93.63051815,27.21668161,papum_pare_arunachal_pradesh
Arunachal Times,http://www.arunachaltimes.in/arunachal-devastated-by-landslides-and-floods-minor-dead/,11172,07-09-2017 13:23,,Landslide at Niti Vihar,"After heavy rains. Article: In Itanagar, a massive landslide occurred this morning [7/9/17]at upper Niti Vihar junction washing away Police waiting shed and buried a dwelling house and damaged two cars.","Niti Vihar, Itanagar, Arunachal Pradesh, India",5km,landslide,continuous_rain,medium,natural_slope,0.0,0.0,,http://www.arunachaltimes.in/wp-content/uploads/2017/07/0000-268x1024.jpg,,,,,,,,,,07-10-2017 13:23,12/20/2017 03:55:00 PM,02/15/2018 03:51:00 PM,93.60505989,27.0844941,papum_pare_arunachal_pradesh
